Price,ID_Ber,Bed,Bath,m²,ID_Type,ID_Location_Number,Type,Region,Location_,Ber,Region_ID
249950,7,2,1,71,3,35,Apartment,Co. Dublin,Co. Dublin - Balbriggan,ber/C2,3
349000,14,3,3,89,1,40,Semi-D,Co. Dublin,Co. Dublin - Rush,ber/C1,3
895000,11,3,1,111,4,23,Bungalow,Co. Dublin,Co. Dublin - Glenageary,ber/E1,3
735000,4,3,3,129,3,8,Apartment,South,Dublin 4,ber/C3,2
450000,11,3,1,95,6,28,Terrace,North,Dublin 11,ber/E1,1
478000,1,3,3,93,1,26,Semi-D,North,Dublin 9,ber/D2,1
325000,5,2,1,56,3,7,Apartment,South,Dublin 14,ber/SI_666,2
350000,11,3,1,90,5,33,End of Terrace,Co. Dublin,Co. Dublin - Rathcoole,ber/E1,3
295000,7,2,2,70,3,73,Apartment,Co. Dublin,Co. Dublin - Naul,ber/C2,3
395000,11,3,1,108,5,37,End of Terrace,South,Dublin 20,ber/E1,2
499000,8,3,2,130,1,28,Semi-D,North,Dublin 11,ber/G,1
265000,11,3,1,99,6,28,Terrace,North,Dublin 11,ber/E1,1
340000,7,3,1,77,6,41,Terrace,South,Dublin 24,ber/C2,2
235000,15,1,1,37,3,10,Apartment,South,Dublin 8,ber/E2,2
950000,11,4,2,195,2,27,Detached,North,Dublin 13,ber/E1,1
375000,7,2,2,90,3,15,Apartment,North,Dublin 5,ber/C2,1
495000,4,3,3,115,1,20,Semi-D,Co. Dublin,Co. Dublin - Swords,ber/C3,3
675000,3,3,3,136,1,9,Semi-D,North,Dublin 15,ber/B2,1
289000,14,3,2,93,6,49,Terrace,South,Dublin 10,ber/C1,2
275000,11,1,1,33,3,21,Apartment,South,Dublin 6,ber/E1,2
1675000,10,4,3,191,2,26,Detached,North,Dublin 9,ber/D1,1
490000,13,3,1,96,6,15,Terrace,North,Dublin 5,ber/F,1
320000,1,3,2,92,1,45,Semi-D,South,Dublin 22,ber/D2,2
245000,14,2,2,69,3,28,Apartment,North,Dublin 11,ber/C1,1
279000,2,2,2,75,3,45,Apartment,South,Dublin 22,ber/B3,2
265000,1,3,1,80,6,28,Terrace,North,Dublin 11,ber/D2,1
400000,4,3,2,87,1,29,Semi-D,Co. Dublin,Co. Dublin - Lucan,ber/C3,3
450000,6,3,4,139,6,42,Terrace,Co. Dublin,Co. Dublin - Saggart,ber/A2,3
275000,7,2,1,70,6,28,Terrace,North,Dublin 11,ber/C2,1
2750000,15,4,4,306,1,8,Semi-D,South,Dublin 4,ber/E2,2
395000,11,3,1,86,6,13,Terrace,South,Dublin 12,ber/E1,2
1395000,2,4,4,242,1,2,Semi-D,Co. Dublin,Co. Dublin - Mount Merrion,ber/B3,3
730000,2,4,3,124,1,74,Semi-D,Co. Dublin,Co.Dublin - Malahide,ber/B3,3
285000,4,2,1,45,3,10,Apartment,South,Dublin 8,ber/C3,2
360000,7,2,2,67,3,68,Apartment,Co. Dublin,Co. Dublin - Dun Laoghaire,ber/C2,3
590000,1,4,2,117,1,5,Semi-D,South,Dublin 16,ber/D2,2
875000,3,2,2,89,3,68,Apartment,Co. Dublin,Co. Dublin - Dun Laoghaire,ber/B2,3
350000,15,2,1,67,6,12,Terrace,North,Dublin 3,ber/E2,1
450000,14,2,1,68,7,15,Duplex,North,Dublin 5,ber/C1,1
795000,1,3,2,130,5,10,End of Terrace,South,Dublin 8,ber/D2,2
410000,15,2,2,90,9,20,House,Co. Dublin,Co. Dublin - Swords,ber/E2,3
425000,14,2,2,66,3,59,Apartment,Co. Dublin,Co Dublin - Blackrock,ber/C1,3
595000,4,4,2,131,1,27,Semi-D,North,Dublin 13,ber/C3,1
350000,3,2,2,107,3,75,Apartment,Co. Dublin,Co.Dublin - Saggart,ber/B2,3
450000,1,2,2,80,3,72,Apartment,Co. Dublin,Co Dublin - Dalkey,ber/D2,3
595000,4,3,1,136,1,5,Semi-D,South,Dublin 16,ber/C3,2
495000,10,3,1,56,3,8,Apartment,South,Dublin 4,ber/D1,2
430000,6,3,3,118,6,76,Terrace,Co. Dublin,Co.Dublin - Newcastle,ber/A2,3
380000,1,3,2,89,1,41,Semi-D,South,Dublin 24,ber/D2,2
460000,11,3,1,74,6,26,Terrace,North,Dublin 9,ber/E1,1
300000,4,1,1,52,3,10,Apartment,South,Dublin 8,ber/C3,2
425000,7,4,2,90,1,70,Semi-D,Co. Dublin,Co Dublin - Swords,ber/C2,3
525000,1,3,1,95,5,26,End of Terrace,North,Dublin 9,ber/D2,1
265000,10,1,1,45,3,12,Apartment,North,Dublin 3,ber/D1,1
330000,14,3,1,90,6,49,Terrace,South,Dublin 10,ber/C1,2
485000,8,2,1,40,1,11,Semi-D,Co. Dublin,Co. Dublin - Killiney,ber/G,3
525000,7,4,3,132,1,5,Semi-D,South,Dublin 16,ber/C2,2
2250000,1,4,2,229,1,8,Semi-D,South,Dublin 4,ber/D2,2
1295000,14,4,2,197,1,16,Semi-D,Co. Dublin,Co. Dublin - Booterstown,ber/C1,3
585000,14,2,1,74,3,77,Apartment,Co. Dublin,Malahide,ber/C1,3
580000,2,2,2,81,3,77,Apartment,Co. Dublin,Malahide,ber/B3,3
545000,2,2,2,67,3,77,Apartment,Co. Dublin,Malahide,ber/B3,3
395000,1,4,1,92,1,20,Semi-D,Co. Dublin,Co. Dublin - Swords,ber/D2,3
195000,4,1,1,51,3,49,Apartment,South,Dublin 10,ber/C3,2
445000,6,3,3,108,1,35,Semi-D,Co. Dublin,Co. Dublin - Balbriggan,ber/A2,3
280000,10,1,1,40,3,53,Apartment,North,Dublin 1,ber/D1,1
550000,7,3,2,86,3,4,Apartment,Co. Dublin,Co. Dublin - Blackrock,ber/C2,3
385000,7,3,1,113,1,45,Semi-D,South,Dublin 22,ber/C2,2
235000,14,2,2,63,3,45,Apartment,South,Dublin 22,ber/C1,2
249000,4,2,1,72,3,45,Apartment,South,Dublin 22,ber/C3,2
295000,10,3,1,74,6,30,Terrace,North,Dublin 7,ber/D1,1
385000,10,3,1,100,1,9,Semi-D,North,Dublin 15,ber/D1,1
625000,2,3,2,124,6,13,Terrace,South,Dublin 12,ber/B3,2
650000,11,3,1,114,1,7,Semi-D,South,Dublin 14,ber/E1,2
560000,6,4,3,128,1,44,Semi-D,Co. Dublin,Co. Dublin - Donabate,ber/A2,3
1395000,2,4,3,215,5,12,End of Terrace,North,Dublin 3,ber/B3,1
435000,1,3,2,140,1,45,Semi-D,South,Dublin 22,ber/D2,2
350000,14,2,2,68,3,28,Apartment,North,Dublin 11,ber/C1,1
185000,7,1,1,42,3,41,Apartment,South,Dublin 24,ber/C2,2
475000,3,5,4,159,6,43,Terrace,Co. Dublin,Co. Dublin - Citywest,ber/B2,3
289000,14,2,2,91,3,42,Apartment,Co. Dublin,Co. Dublin - Saggart,ber/C1,3
745000,15,5,3,190,1,7,Semi-D,South,Dublin 14,ber/E2,2
495000,10,3,2,99,7,10,Duplex,South,Dublin 8,ber/D1,2
625000,7,5,5,125,6,30,Terrace,North,Dublin 7,ber/C2,1
1500000,6,4,3,227,2,14,Detached,South,Dublin 18,ber/A2,2
374950,10,2,2,84,3,14,Apartment,South,Dublin 18,ber/D1,2
360000,2,3,3,111,6,9,Terrace,North,Dublin 15,ber/B3,1
700000,15,3,2,85,1,5,Semi-D,South,Dublin 16,ber/E2,2
895000,15,5,3,172,2,14,Detached,South,Dublin 18,ber/E2,2
320000,14,2,1,69,3,53,Apartment,North,Dublin 1,ber/C1,1
450000,14,4,3,109,1,37,Semi-D,South,Dublin 20,ber/C1,2
1295000,15,5,2,188,1,60,Semi-D,South,Dublin 6W,ber/E2,2
525000,1,2,1,60,4,23,Bungalow,Co. Dublin,Co. Dublin - Glenageary,ber/D2,3
645000,11,4,1,115,6,26,Terrace,North,Dublin 9,ber/E1,1
1100000,1,4,3,135,2,25,Detached,Co. Dublin,Co. Dublin - Sandycove,ber/D2,3
1200000,4,4,4,182,4,27,Bungalow,North,Dublin 13,ber/C3,1
350000,11,1,1,48,8,26,Townhouse,North,Dublin 9,ber/E1,1
2495000,11,4,3,404,2,7,Detached,South,Dublin 14,ber/E1,2
2250000,4,5,3,256,1,21,Semi-D,South,Dublin 6,ber/C3,2
685000,12,4,3,142,1,20,Semi-D,Co. Dublin,Co. Dublin - Swords,ber/A3,3
345000,10,2,2,58,3,10,Apartment,South,Dublin 8,ber/D1,2
325000,14,2,3,79,6,9,Terrace,North,Dublin 15,ber/C1,1
698000,2,3,2,123,6,21,Terrace,South,Dublin 6,ber/B3,2
705000,2,2,1,70,6,10,Terrace,South,Dublin 8,ber/B3,2
425000,1,4,1,69,6,30,Terrace,North,Dublin 7,ber/D2,1
400000,2,2,2,70,3,5,Apartment,South,Dublin 16,ber/B3,2
725000,12,5,4,170,1,5,Semi-D,South,Dublin 16,ber/A3,2
545000,14,3,2,97,5,27,End of Terrace,North,Dublin 13,ber/C1,1
470000,14,4,3,107,1,9,Semi-D,North,Dublin 15,ber/C1,1
300000,14,3,2,95,6,35,Terrace,Co. Dublin,Co. Dublin - Balbriggan,ber/C1,3
290000,10,1,1,50,3,53,Apartment,North,Dublin 1,ber/D1,1
245000,1,3,1,81,6,28,Terrace,North,Dublin 11,ber/D2,1
295000,10,3,1,93,6,28,Terrace,North,Dublin 11,ber/D1,1
495000,11,3,2,104,1,28,Semi-D,North,Dublin 11,ber/E1,1
775000,13,4,2,105,4,4,Bungalow,Co. Dublin,Co. Dublin - Blackrock,ber/F,3
495000,4,3,3,82,6,27,Terrace,North,Dublin 13,ber/C3,1
595000,11,3,3,96,1,14,Semi-D,South,Dublin 18,ber/E1,2
695000,10,3,2,85,1,6,Semi-D,Co. Dublin,Co. Dublin - Monkstown,ber/D1,3
375000,10,1,1,55,3,8,Apartment,South,Dublin 4,ber/D1,2
595000,10,4,2,140,1,78,Semi-D,Co. Dublin,Co. Dublin - Loughlinstown,ber/D1,3
395000,1,3,1,92,1,26,Semi-D,North,Dublin 9,ber/D2,1
250000,8,1,1,36,3,8,Apartment,South,Dublin 4,ber/G,2
385000,7,3,1,78,6,13,Terrace,South,Dublin 12,ber/C2,2
229000,7,2,2,66,3,43,Apartment,Co. Dublin,Co. Dublin - Citywest,ber/C2,3
245000,2,2,2,83,3,45,Apartment,South,Dublin 22,ber/B3,2
250000,7,3,1,100,6,28,Terrace,North,Dublin 11,ber/C2,1
265000,2,2,1,60,3,26,Apartment,North,Dublin 9,ber/B3,1
820000,10,3,2,165,2,15,Detached,North,Dublin 5,ber/D1,1
399950,15,3,2,106,1,41,Semi-D,South,Dublin 24,ber/E2,2
995000,4,4,3,158,2,22,Detached,Co. Dublin,Co. Dublin - Malahide,ber/C3,3
860000,10,4,2,119,1,21,Semi-D,South,Dublin 6,ber/D1,2
595000,1,4,1,120,6,26,Terrace,North,Dublin 9,ber/D2,1
345000,2,2,1,55,3,30,Apartment,North,Dublin 7,ber/B3,1
895000,6,3,3,121,1,6,Semi-D,Co. Dublin,Co. Dublin - Monkstown,ber/A2,3
595000,10,3,3,123,1,14,Semi-D,South,Dublin 18,ber/D1,2
385000,10,4,2,116,6,28,Terrace,North,Dublin 11,ber/D1,1
